# D:\OrcaData\20210226_Olesya_Mn2O3_PBE0
reduced_orbitals_Energie	reduced_orbitals_Normiert
516.1986	0.003388639
516.1998	0.008372374
520.2215	7.2057e-05
520.4235	4.413e-05
519.1206	0.00162807
519.1982	0.00086333
519.2685	0.000443129
519.1206	0.000373216
519.1982	0.000226966
519.2685	0.00066497
519.5024	0.000927213
520.2215	7.8286e-05
518.7269	6.5643e-05
519.1206	0.000374408
519.1982	0.000606178
519.2685	0.000875323
519.5024	0.000457609
520.0406	0.000542427
519.1206	0.000106918
519.1982	8.4829e-05
519.2685	8.3727e-05
519.5024	3.5255e-05
520.0406	0.00212803
520.2215	0.00068763
520.4235	0.000407622
516.1998	0.000282541
519.5024	2.413e-05
520.0406	0.000398915
520.2215	0.002320971
520.4235	0.000415055
519.5024	3.4115e-05
520.0406	0.000799579
520.2215	0.000128081
520.4235	0.00209269
522.8141	3.1231e-05
523.1267	0.004093357
523.7788	0.000116962
523.1267	0.000217397
523.7788	0.001811377
527.4608	2.1712e-05
516.1986	0.013723242
516.1998	0.002067271
520.2189	5.662e-05
520.4196	4.6966e-05
519.1176	0.001424085
519.1962	0.000770576
519.2659	0.000453169
519.1176	0.000326698
519.1962	0.000193443
519.2659	0.000653069
519.4988	0.000908854
520.2189	6.1654e-05
518.7238	6.2096e-05
519.1176	0.00033599
519.1962	0.000535077
519.2659	0.000884057
519.4988	0.00043897
520.0388	0.000510916
519.1176	9.4271e-05
519.1962	7.3963e-05
519.2659	8.3814e-05
519.4988	3.3614e-05
520.0388	0.002011238
520.2189	0.000548176
520.4196	0.000432448
516.1986	0.000463962
519.4988	2.3423e-05
520.0388	0.00038163
520.2189	0.001823268
520.4196	0.000443809
519.4988	3.3291e-05
520.0388	0.000764409
520.2189	0.000101305
520.4196	0.002208068
522.8123	2.5979e-05
523.1246	0.002894153
523.7772	9.5288e-05
523.1246	0.000153914
523.7772	0.001473678
527.4594	2.4068e-05
518.0338	0.000486265
518.3213	0.002910975
518.7238	0.000516718
518.9055	8.2583e-05
519.2659	6.1645e-05
518.0338	0.005430729
518.3213	0.000245354
519.1962	0.000112288
519.2659	0.000376586
518.7238	7.1661e-05
518.9055	0.00128794
519.1962	0.000244652
519.2659	0.000464645
520.907	2.8556e-05
518.3213	0.000562429
518.7238	0.000642215
518.9055	8.756e-05
519.1176	5.8296e-05
519.1962	0.000229838
519.2659	0.000234365
519.4632	0.000225002
518.0338	0.000474077
518.7238	0.000272306
518.9055	7.7581e-05
519.1962	0.00020432
519.2659	0.001245067
519.4632	2.043e-05
519.7022	0.000884083
520.907	0.000127476
518.3213	0.000642536
518.7238	0.000690453
519.2659	0.000124335
519.4632	0.000276117
519.7022	5.9217e-05
518.0338	9.165e-05
518.3213	5.5188e-05
518.7238	5.8156e-05
518.9055	0.000129379
519.1962	0.000283436
519.2659	0.000634894
519.4632	3.6955e-05
519.7022	0.001333175
518.0338	0.000143068
519.2659	7.1406e-05
519.7022	9.1353e-05
520.907	0.00223034
522.8123	0.001780744
523.1246	6.6725e-05
524.4541	3.4516e-05
527.0615	2.0104e-05
524.4541	0.002950105
525.8291	1.1815e-05
515.6363	0.019504535
520.248	1.6483e-05
521.4725	1.8942e-05
516.6595	0.013347307
520.7874	1.607e-06
519.7392	3.4743e-05
520.1001	8.7549e-05
515.6363	0.000767403
520.248	0.000353484
521.4725	4.8504e-05
520.3283	3.073e-06
516.6595	0.000344511
520.7874	6.3136e-05
515.6363	0.000349972
520.248	7.572e-06
521.4725	0.001387545
522.5816	0.000207322
521.4725	0.000117042
522.5816	0.002165072
523.6494	4.2312e-05
525.1987	0.00021276
525.584	6.4575e-05
